year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
1900,,4,6,5,6,6,7,8,8,9,8,7
1901,6,4,6,6,6,6,8,8,8,9,8,8
1902,6,5,6,6,6,7,8,8,8,9,8,8
1903,6,5,7,6,7,7,8,9,9,9,8,8
1904,7,5,6,5,6,6,7,8,8,9,8,7
1905,6,4,6,5,6,6,8,8,7,9,8,8
1906,6,5,6,6,6,6,8,8,8,9,8,8
1907,6,5,7,6,7,7,8,9,9,9,8,8
1908,7,5,6,5,6,6,7,8,8,9,8,7
1909,6,4,6,5,6,6,8,7,8,9,8,8
1910,6,5,6,6,6,6,8,8,8,9,8,8
1911,6,5,7,6,7,7,8,9,9,9,8,8
1912,7,5,6,5,6,6,7,8,8,9,8,7
1913,6,4,6,5,6,6,8,8,8,9,8,8
1914,6,4,6,5,6,6,8,8,8,9,8,8
1915,6,4,6,6,6,7,8,8,9,9,8,8
1916,6,5,6,5,6,6,7,8,8,8,8,6
1917,6,4,6,5,6,6,8,8,8,9,8,8
1918,6,4,6,5,6,6,8,8,8,9,8,8
1919,6,5,6,6,6,7,8,8,9,9,8,8
1920,6,5,6,5,6,6,7,8,8,8,8,7
1921,6,4,6,5,6,6,8,8,8,9,8,7
1922,6,4,6,5,6,6,8,8,8,9,8,8
1923,6,5,6,6,6,7,8,8,9,9,8,8
1924,6,5,6,5,6,6,7,8,8,8,8,7
1925,6,4,6,5,6,6,8,8,8,9,8,7
1926,6,4,6,5,6,6,8,8,8,9,8,8
1927,6,5,6,6,6,7,8,8,9,9,8,8
1928,6,5,6,5,6,6,7,8,8,8,7,7
1929,6,4,6,5,6,6,7,8,8,9,8,7
1930,6,4,6,5,6,6,8,8,8,9,8,8
1931,6,5,6,6,6,7,8,8,8,9,8,8
1932,6,5,6,5,6,6,7,8,8,8,7,7
1933,6,4,6,5,6,6,7,8,8,9,8,7
1934,6,4,6,5,6,6,8,8,8,9,8,8
1935,6,5,6,6,6,6,8,8,8,9,8,8
1936,6,5,6,5,6,6,7,8,8,8,7,7
1937,6,4,6,5,6,6,7,8,8,9,8,7
1938,6,4,6,5,6,6,8,8,9,9,8,8
1939,6,5,6,6,6,6,8,8,9,9,8,8
1940,6,5,6,5,6,6,7,8,8,8,7,7
1941,6,4,6,5,6,7,8,8,8,9,8,8
1942,6,4,6,5,6,6,8,8,8,9,8,8
1943,6,5,6,6,6,6,8,8,8,9,8,8
1944,6,5,6,5,5,6,7,8,8,8,7,7
1945,6,4,6,5,6,6,7,8,8,8,8,7
1946,6,4,6,5,6,6,8,8,8,9,8,8
1947,6,4,6,5,6,6,8,8,8,9,8,8
1948,6,5,5,5,5,6,7,7,8,8,7,7
1949,5,4,6,5,6,6,7,8,8,8,8,7
1950,6,4,6,5,6,6,8,8,8,9,8,8
1951,6,4,6,5,6,6,8,8,8,9,8,8
1952,6,5,5,5,5,6,7,7,8,8,7,7
1953,5,4,6,5,6,6,6,8,8,8,8,7
1954,6,4,6,5,6,6,8,8,8,9,8,7
1955,6,4,6,5,6,6,8,8,8,9,8,8
1956,6,5,5,5,5,6,7,7,8,8,7,7
